site_name,Ecoregion,year,CS,DCW0,DCW,DCW1_5,DCW2,DCM,DCM0_5,PARd,DLW,DLWln,dDLW,dDLWln,dDLW2m,dDLW2mln,dDLW5m,dDLWsite,Kd490a,LS,bleaching,Report,CS0count,CS1count,CS2count,DCW-MCS0,DCW-MCS1,CS-MCS,C-PAR,C-PARprevm,CountDays,consecutive_days
COR,Gulf of California,2002,-1.518785835,-7.808,-4.09,-1.519,0,-1.23,-1.23,1.614533097,29.347,3.379190326,37.354,3.620440001,35.509,3.569786185,36.749,36.7216,-0.091,1.615,0,,57,25,0,-0.825,0,-2.34,23,21,52,48
COR,Gulf of California,2003,1.24549988,0,0,0,0,0,0,-2.662644401,22.106,3.095849065,16.49,2.802754137,13.132,2.575052,10.75416667,12.19533333,-0.032,0,0,,4,2,0,0,0,0.46,15,21,4,1
COR,Gulf of California,2004,-1.46450012,-10.007,-3.68,0,0,-1.75,-1.75,1.777092619,18.507,2.918149039,19.8055,2.985959677,17.9998,2.890360647,12.6138,16.1048,-0.048,1.777,0,,68,17,0,-0.066,0,-1.12,18,20,68,72
COR,Gulf of California,2005,0.138357022,0,0,0,0,0,0,3.772306745,22.317,3.10534872,30.171,3.406881198,33.3708,3.507681266,41.5208,38.2146,-0.091,3.772,0,,3,0,0,0,0,0.05,20,22,2,3
COR,Gulf of California,2006,-1.147357263,-8.114,-3.26,0,0,-1.15,-1.14,-2.060567209,17.662,2.871415439,11.829,2.470554144,12.17316667,2.499234076,12.2195,12.1025,0.095,0,0,,75,14,0,-1.354,0,-1.72,8,27,69,47
COR,Gulf of California,2007,-1.264202501,-5.172,-2.52,0,0,-0.67,0,0.990657188,26.997,3.295725749,17.049,2.836091551,21.0966,3.04911189,30.3754,24.9062,-0.116,0.991,0,,55,14,0,-0.078,0,-1.11,18,21,53,27
COR,Gulf of California,2008,-1.688785835,-16.595,-11.94,-8.115,0,-2.99,-2.99,2.064163926,25.001,3.218915824,33.055,3.498172841,30.3555,3.41297772,32.72766667,32.12216667,-0.107,2.064,1,Severe,77,58,9,-8.944,-4.391,-2.49,22,15,74,74
COR,Gulf of California,2009,-0.467357263,-1.171,0,0,0,0,0,2.378704924,15.884,2.765312313,24.73,3.208017082,28.06216667,3.334422287,28.91183333,29.63483333,-0.085,2.379,0,,19,0,0,0,0,-0.3,17,19,17,13
COR,Gulf of California,2010,1.278357022,0,0,0,0,0,0,2.539246395,21.157,3.05197082,25.85,3.252310601,24.8058,3.211077497,22.4356,24.8392,-0.083,2.539,0,,0,0,0,0,0,0.71,23,23,0,1
COR,Gulf of California,2011,-1.911642978,-11.648,-10.02,-3.732,0,-2.75,-2.36,2.955569648,22.461,3.111780472,23.342,3.150254313,22.80816667,3.127118659,21.94433333,22.56033333,-0.08,2.956,1,Medium,82,50,6,-2.78,0,-1.79,18,22,81,49
COR,Gulf of California,2012,-1.250214406,-10.631,-3.54,0,0,-1.89,-1.58,-0.199072929,16.138,2.781176739,12.366,2.514950771,9.7986,2.282239518,7.5924,8.949666667,-0.028,0,0,,85,32,0,-2.113,0,-1.75,7,11,80,53
COR,Gulf of California,2013,-0.728785835,-3.528,0,0,0,-0.41,0,0.698593962,22.804,3.126935959,19.865,2.988959389,25.6052,3.242795456,35.6482,30.8028,-0.101,0.699,0,,43,0,0,0,0,-0.65,16,17,42,24
COR,Gulf of California,2014,0.838357022,0,0,0,0,0,0,-0.434659907,19.028,2.945911579,24.147,3.184160149,24.09216667,3.181886753,30.03383333,27.4155,-0.066,0.111,0,,0,0,0,0,0,0.63,18,19,0,1
COR,Gulf of California,2015,0.811214165,0,0,0,0,0,0,-0.32966091,13.173,2.57816928,17.2545,2.848072979,16.24016667,2.787487597,19.22433333,17.80133333,-0.038,0,0,,0,0,0,0,0,0.9,20,25,0,1
COR,Gulf of California,2016,1.334071308,0,0,0,0,0,0,2.891059376,29.174,3.373277902,33.479,3.510918377,36.6372,3.601064118,44.7106,41.637,-0.1,2.891,0,,0,0,0,0,0,0.75,27,23,0,1
COR,Gulf of California,2017,-0.674785835,-1.932,0,0,0,-0.1,0,1.927733223,29.017,3.367881865,20.118,3.001614937,19.996,2.995532254,21.6856,20.9252,-0.064,2.279,0,,28,1,0,0,0,-0.37,18,24,24,9
CPU,Gulf of California,1998,0.882625873,0,0,0,0,0,0,5.679020556,37.743,3.630800028,57.289,4.048108633,64.0035,4.158937769,82.85016667,82.85016667,-0.062,5.679,0,,0,0,0,0,0,0.59,32,27,0,1
CPU,Gulf of California,1999,-1.748802698,-5.275,-2.78,-1.749,0,-1.16,-0.95,3.283732805,40.619,3.704235937,38.551,3.65198204,37.484,3.623914175,39.5944,39.5944,-0.029,3.284,0,,71,13,4,-0.738,0,-1.58,26,25,57,24
CPU,Gulf of California,2000,-0.957136031,-4.965,0,0,0,-0.77,0,3.433225793,43.363,3.769606543,34.829,3.550450373,33.585,3.514079539,31.2978,31.2978,-0.044,3.433,0,,71,4,0,0,0,-1.15,19,14,56,15
CPU,Gulf of California,2001,-1.67023127,-7.003,-2.83,-1.67,0,-1.17,-1.06,0.88527977,37.849,3.633604559,18.8075,2.934255726,15.458,2.738126669,11.6158,11.6158,-0.036,0.885,0,,58,19,0,-0.598,0,-1.38,14,21,55,33
CPU,Gulf of California,2002,-1.057374127,-6.542,-1.06,0,0,-1.04,-0.86,2.291885231,40.681,3.705761153,33.7845,3.520002117,30.8948,3.430587885,32.9058,32.9058,-0.027,2.9,0,,66,14,0,-0.624,0,-2.17,22,20,57,37
CPU,Gulf of California,2003,0.118340159,0,0,0,0,0,0,1.141046594,28.287,3.342402335,30.221,3.408537047,36.1544,3.587798656,47.2064,47.2064,-0.059,1.141,0,,9,0,0,0,0,0.46,24,14,5,2
CPU,Gulf of California,2004,-1.061659841,-4.822,-1.06,0,0,-0.67,-0.55,0.890946965,22.355,3.10705001,15.696,2.753405903,11.4748,2.440153327,8.9148,8.9148,0.002,0.891,0,,57,8,0,-0.054,0,-1.19,13,16,51,39
CPU,Gulf of California,2005,-0.823088412,-2.421,0,0,0,-0.5,0,-0.29185228,38.319,3.645945857,10.885,2.387385695,10.2818,2.330375342,19.712,19.712,-0.035,0,0,,44,1,0,0,0,0.08,16,19,36,25
CPU,Gulf of California,2006,-1.571659841,-9.44,-6.56,-1.572,0,-1.76,-1.66,0.468706475,25.292,3.23048814,17.0295,2.834947134,13.67733333,2.615739961,13.662,13.662,-0.016,1.249,0,,72,33,0,-1.131,0,-1.7,10,19,64,45
CPU,Gulf of California,2007,-0.378802698,-1.419,0,0,0,0,0,0.540444926,22.666,3.120866004,13.545,2.606017476,13.2058,2.580656127,17.2488,17.2488,-0.019,0.54,0,,28,1,0,-0.054,0,-1.08,13,14,24,8
CPU,Gulf of California,2008,-2.693088412,-24.57,-21.85,-20.731,-13.763,-5.25,-5.25,0.149874364,30.455,3.416250184,19.362,2.963312382,12.23116667,2.503987339,4.6384,4.6384,0.037,1.225,1,Severe,89,74,38,-8.359,-3.222,-2.34,11,11,89,88
CPU,Gulf of California,2009,0.114054445,0,0,0,0,0,0,-1.271577155,20.047,2.998079517,12.301,2.50968056,12.4412,2.521013546,13.5012,13.5012,0.015,1.471,0,,8,0,0,0,0,-0.23,10,21,4,3
CPU,Gulf of California,2010,0.714054445,0,0,0,0,0,0,2.329814596,29.684,3.39060818,20.233,3.007314935,21.582,3.071859634,22.827,22.827,-0.042,2.33,0,,0,0,0,0,0,0.73,25,24,0,1
CPU,Gulf of California,2011,-1.936302698,-18.17,-13.9,-10.263,-2.035,-3.69,-3.69,-0.19043355,25.048,3.220793984,18.642,2.9254171,12.5125,2.526728145,7.197833333,7.197833333,0.017,1.399,1,Medium,88,61,8,-2.186,0,-1.78,3,19,86,75
CPU,Gulf of California,2012,-0.90023127,-4.768,-1.51,0,0,-0.68,0,0.866369398,31.819,3.460063596,13.467,2.600242248,10.5604,2.357111156,9.9158,9.9158,-0.036,0.866,0,,57,2,0,-2.15,0,-1.7,18,21,55,29
CPU,Gulf of California,2013,-0.635052698,-2.658,0,0,0,-0.02,0,0.039747618,21.036,3.046235256,17.8705,2.883151309,18.8178,2.93480323,19.6306,19.6306,-0.039,1.752,0,,34,2,0,0,0,-0.57,13,18,30,22
CPU,Gulf of California,2014,1.122625873,0,0,0,0,0,0,2.83939927,27.721,3.322190249,47.68,3.864512023,55.40266667,4.014627727,79.69266667,79.69266667,-0.05,2.839,0,,0,0,0,0,0,0.55,26,20,0,1
CPU,Gulf of California,2015,0.901197302,0,0,0,0,0,0,1.601762308,13.47,2.60046499,20.846,3.037162083,20.12466667,3.00194626,33.7585,33.7585,-0.036,1.602,0,,0,0,0,0,0,0.94,23,24,0,1
